,violence_works,violence_alienates,both_tactics,violence_understandable,,primary,secondary,tertiary,,,pro_beijing,mod_dem,rad_dem,localist,self_det,localist2,centrist,other,idk,
12/6,0.382,0.526,,,,0,0.138,0.863,0,,0,0.295,0.021,0.254,,,0.389,0.04,0,175
16/6,,,,0.691,,0.014,0.303,0.682,0.001,,0.004,0.411,0.034,0.18,,,0.213,0.126,0.032,875
17/6,0.532,0.612,0.796,,,0,0.158,0.841,0.001,,0.004,0.316,0.075,0.26,,,0.212,0.045,0.088,717
21/6,0.617,0.566,0.89,,,0.009,0.179,0.812,0,,0,0.298,0.078,0.286,,,0.211,0.03,0.096,316
26/6,0.563,0.471,0.849,,,0.002,0.105,0.885,0.007,,0.005,0.278,0.084,0.402,,,0.12,0.026,0.086,418
43472,0.405,0.549,0.71,0.835,,0.016,0.283,0.7,0,,0.002,0.43,0.066,0.245,,,0.186,0.016,0.055,1169
21/7,0.543,0.331,0.816,0.947,,0.016,0.289,0.694,0.002,,0.003,0.449,0.071,0.27,,,0.134,0.012,0.061,680
27/7,0.655,0.323,0.86,0.953,,0.004,0.128,0.864,0.004,,0,0.349,0.085,0.374,,,0.089,0.03,0.072,235
"4/8
(TKO)",0.501,0.357,0.867,0.959,,0.002,0.228,0.768,0.002,,0.002,0.382,0.076,0.351,,,0.109,0.031,0.049,717
"4/8
(Saiwan)",0.473,0.338,0.885,0.931,,0.008,0.213,0.778,0.001,,0.002,0.351,0.094,0.395,,,0.095,0.008,0.055,555
10/8,0.454,0.429,0.879,0.954,,0.002,0.173,0.822,0.003,,0.002,0.391,0.077,0.184,0.082,0.052,0.115,0.026,0.072,2309
11/8,0.507,0.399,0.874,0.956,,0.005,0.208,0.783,0.005,,0.002,0.311,0.105,0.211,0.09,0.074,0.107,2.5,0.075,636
13/8,0.406,0.427,0.858,0.946,,0,0.208,0.79,0.002,,0,0.408,0.097,0.165,0.082,0.064,0.107,0.016,0.06,485
16/8,0.547,0.385,0.92,0.977,,0.002,0.116,0.876,0.006,,0.003,0.258,0.087,0.272,0.119,0.134,0.057,0.027,0.043,632
18/8,0.489,0.374,0.861,0.942,,0.004,0.204,0.79,0.003,,0,0.427,0.077,0.172,0.075,0.062,0.119,0.015,0.052,806
25/8,0.554,0.245,0.898,0.946,,0,0.204,0.796,0,,0,0.341,0.094,0.231,0.078,0.056,0.091,0.019,0.089,372
15/9,0.622,0.276,0.891,0.919,,0.002,0.161,0.832,0.004,,0,0.369,0.112,0.214,0.098,0.057,0.072,0.02,0.058,911
14/10,0.661,0.358,0.903,0.982,,0.005,0.144,0.852,0,,0.003,0.352,0.122,0.227,0.094,0.066,0.054,0.014,0.068,662
20/10,0.624,0.3,0.906,0.975,,0,0.164,0.835,0.001,,0.001,0.436,0.115,0.166,0.102,0.049,0.057,0.014,0.059,921
